,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_ica__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
266,21.516682195663453,0.08800182342529297,0.6404396294443757,0.6405216444541896,0.001,"(100, 25, 100)",2,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 2}",333,0.6310650347844043,0.6323431745887068,0.6351087212055171,0.639828823908697,0.6321346069553553,0.6287829172485542,0.6585595900518598,0.6482466703253009,0.6453309108508571,0.653406636199689,4.235158070321394,0.004644836101690529,0.010368566200845268,0.009282931897284588
267,19.144042205810546,0.08650002479553223,0.681290812176121,0.6821116188465431,0.001,"(100, 25, 100)",3,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 3}",317,0.6852035371295383,0.6851163988964392,0.6791893480499799,0.6880804319314006,0.6725663652618615,0.6657673498825348,0.6727848513922904,0.6752813683869503,0.6967105370848087,0.6963125451353909,3.096658084349365,0.0003513812533484819,0.009010545513138886,0.010584036938334242
268,25.481794691085817,0.08643612861633301,0.6929224218553689,0.6935146629793371,0.001,"(100, 25, 100)",4,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 4}",302,0.6813555171484077,0.6830042494991235,0.6971638963852721,0.7015171595771097,0.7053524945357792,0.6970070601319731,0.6942489537997044,0.6982177476802478,0.68649150540679,0.6878270980082312,9.701299590023988,0.0003473128672054368,0.008359558772061881,0.006945113133688303
269,21.770538759231567,0.08682084083557129,0.6975804396198323,0.6979886431652148,0.001,"(100, 25, 100)",5,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 5}",280,0.6922095540854711,0.6930671453492302,0.7001810854600458,0.7052881944824763,0.7069631070583344,0.6982114744504986,0.6773662848052272,0.6805021504958932,0.7111831198003318,0.7128742510479761,5.554599853972046,0.0005284949950404861,0.01197732303667972,0.010999208988662206
270,19.61901879310608,0.08779020309448242,0.6999812626730315,0.7005166103120746,0.001,"(100, 25, 100)",6,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 6}",268,0.6921597216696368,0.693465462893646,0.6971042677126029,0.702656824879011,0.7082052477526374,0.6999161575317603,0.6997704528233321,0.7030905242277942,0.7026671512328169,0.7034540820281615,4.097963470505616,0.0014750959176864514,0.0053730565442441335,0.0037393452576265887
271,30.09853301048279,0.08737039566040039,0.6978676369623371,0.6982179093096386,0.001,"(100, 25, 100)",7,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 7}",278,0.6926402236670318,0.6937119101423621,0.7119848060919088,0.7190257873332475,0.69904722666318,0.6880727781014357,0.6953420228123341,0.6989660901255077,0.6903237892144213,0.6913129808456401,14.569396078952542,0.0003242729332646234,0.007632805846264055,0.010994847113068069
272,24.208285188674928,0.08829421997070312,0.7121143742379811,0.7125366404796143,0.001,"(100, 25, 100)",8,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 8}",180,0.7160153260429065,0.7174326385137402,0.7252947890691561,0.7330005518855282,0.7343132485973624,0.7248266310032133,0.6920611690945546,0.6939122491065037,0.6928861765258,0.6935111318890862,8.680376519290405,0.0003955864572869014,0.01705032315586438,0.016140782292048073
273,23.055983209609984,0.08921356201171875,0.7037350010529876,0.7046193217181915,0.001,"(100, 25, 100)",9,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 9}",231,0.7159978665632978,0.717997739797989,0.6957922555614691,0.7027951406176774,0.7233878612155555,0.7153164088093422,0.6923926015064262,0.6933696918110485,0.6911031698682977,0.6936176275549009,6.015339405604256,0.0007701181017586339,0.01332601001184375,0.010433875854650164
274,143.04309897422792,0.2666815757751465,0.7117803956359474,0.7134202716132406,0.001,"(100, 25, 100)",10,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 10}",182,0.6990857166151647,0.6991575076573815,0.7089452091132576,0.7170695924441954,0.7307999155971371,0.7293770290124825,0.7045209864781901,0.7052892703985069,0.7155509774850879,0.7162079585536366,133.20716682588002,0.21809991130553752,0.010934889003698395,0.010442666940180662
275,67.6112024307251,0.20658278465270996,0.7277320032972118,0.7273726935763327,0.001,"(100, 25, 100)",15,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 15}",162,0.7267744275129482,0.7288826383730028,0.7023898127415941,0.7070693405991393,0.7504715017598728,0.7456733922983259,0.735220939175678,0.7323842519491855,0.7238031860398513,0.7228538446620097,84.06155055391498,0.22605195281931234,0.015695524203942227,0.012609182066681813
276,82.69596786499024,0.19615750312805175,0.7428797084169653,0.7429510157984897,0.001,"(100, 25, 100)",20,"{'NN__alpha': 0.001, 'NN__hidden_layer_sizes': (100, 25, 100), 'ica__n_components': 20}",130,0.7392427373243418,0.7378645371334855,0.733094335519834,0.7415042603005788,0.7404807829410115,0.7374848878344209,0.7652236353782398,0.7664624426908204,0.7363569059557405,0.7314389510331427,110.66776759159255,0.22395245309313633,0.01145890462552449,0.012191462186914321
